backend,n,repeats,wall_ms_median,wall_ms_p25,wall_ms_p75,per_tick_us_median,ticks_executed_median
cpu1,1000,30,106.8871775,100.35925800000001,111.98471375,534.4358875,200.0
cpu1,10000,30,10448.785506,10332.11217225,10516.856327500001,52243.92753,200.0
cpu_omp,1000,30,45.807519,38.53553575,57.856086250000004,229.037595,200.0
cpu_omp,10000,30,2263.7036895,2192.396994,2324.59362725,11318.5184475,200.0
cpu_omp,100000,30,202104.215695,200346.94402825,203868.121926,1010521.078475,200.0
gpu,1000,30,183.75834700000001,168.53717475,207.74572775,918.791735,200.0
gpu,10000,30,1200.326515,1191.86362525,1213.0180815,6001.632575,200.0
gpu,100000,30,30028.0341165,29985.222071750002,30102.823871250002,150140.1705825,200.0
